unit -> angles in degrees			
"Azimuth, angle between the magnetic north direction and the y-axis, around the z-axis (0 to 359). 0=North, 90=East, 180=South, 270=West"	"Pitch, rotation around x-axis (-180 to 180), with positive values when the z-axis moves toward the y-axis"	"Roll, rotation around y-axis (-90 to 90), with positive values when the x-axis moves toward the z-axis"	
Timestamp	Azimuth	Pitch	Roll
2.805884	38.050934	-85.519165	24.08198
2.8108582	39.598938	-85.99389	22.828548
2.8158937	41.015472	-86.16648	21.665197
2.820929	42.206726	-86.06629	20.56546
2.8260255	43.166107	-85.77557	19.442972
2.8309996	43.82242	-85.39562	18.302021
2.8360353	44.23288	-84.97188	17.090406
2.8410704	44.409332	-84.527084	15.826061
2.8461668	44.398743	-84.04879	14.516761
2.8511412	44.22888	-83.54862	13.252015
2.8561769	43.938965	-83.01828	12.025222
2.861212	43.5632	-82.482346	10.886559
2.8663085	43.137024	-81.95296	9.84747
2.8712828	42.71228	-81.46232	8.959412
2.8763185	42.298737	-81.00102	8.193101
2.8813539	41.949493	-80.57629	7.553931
2.88645	41.697357	-80.18075	7.019553
2.8914247	41.58423	-79.821365	6.5895905
2.8964903	41.601837	-79.46886	6.2283354
2.9014647	41.7778	-79.12604	5.934066
2.906592	42.130768	-78.77056	5.679211
2.9115663	42.63263	-78.4241	5.473204
2.9166014	43.26065	-78.07071	5.3007364
2.921637	43.99945	-77.71549	5.1612277
2.9267335	44.833862	-77.356544	5.053784
